states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
Iowa,Dubuque,"58,460",219.0,3.4,34.2,37.6,143.7,2552.05,,1984.3,78.7
Georgia,Dunwoody,"47,308",95.1,2.1,8.5,59.2,25.4,4073.3,572.8,3263.7,236.7
New Jersey,East Brunswick Township,"48,009",52.1,0.0,0.0,22.9,29.2,1789.2,258.3,1491.4,39.6
Connecticut,East Hartford,"51,431",373.3,3.9,50.6,161.4,157.5,3058.5,703.9,2000.7,353.9
Michigan,East Lansing,"48,701",238.2,0.0,34.9,39.0,164.3,2039.0,441.5,1427.1,170.4
Rhode Island,East Providence,"46,994",151.1,4.3,27.7,29.8,89.4,1774.7,306.4,1342.7,125.5
California,Eastvale,"55,439",74.0,0.0,1.8,27.1,45.1,1816.4,461.8,1156.2,198.4
Minnesota,Edina,"48,932",283.1,0.0,,10.2,16.3,1780.0,228.9,1514.3,36.8
Washington,Edmonds,"40,609",140.4,2.5,9.9,49.3,78.8,2472.4,640.3,1709.0,123.1
New Jersey,Egg Harbor Township,"43,501",227.6,0.0,6.9,55.2,165.5,1963.2,446.0,1443.6,73.6
California,El Centro,"43,643",380.4,4.6,16.0,91.7,268.1,5675.6,1681.8,3602.0,391.8
Illinois,Elmhurst,"44,460",72.0,0.0,11.2,36.0,24.7,1399.0,251.9,1086.4,60.7
Connecticut,Enfield,"44,806",67.0,0.0,0.0,26.8,40.2,1830.1,441.9,1319.0,69.2
Oklahoma,Enid,"49,755",329.6,4.0,56.3,42.2,227.1,3975.5,976.8,2817.8,180.9
Texas,Euless,"53,228",178.5,0.0,18.8,71.4,88.3,2983.4,608.7,2109.8,264.9
Massachusetts,Everett,"42,476",400.2,4.7,25.9,155.4,214.2,2321.3,586.2,1417.3,317.8
New Jersey,Evesham Township,"45,849",65.4,0.0,4.4,17.4,43.6,1491.9,248.6,1223.6,19.6
Ohio,Fairfield,"42,727",341.7,9.4,16.4,65.5,250.4,3131.5,454.0,2579.2,98.3
New Mexico,Farmington,"45,328",1061.2,8.8,178.7,86.0,787.6,4116.7,732.4,3154.8,229.4
Massachusetts,Fitchburg,"40,809",781.7,2.5,51.5,115.2,612.6,2661.2,752.3,1798.6,110.3
Missouri,Florissant,"52,243",151.2,0.0,5.7,55.5,90.0,2239.5,467.0,1506.4,266.1
Wisconsin,Fond du Lac,"43,319",422.4,0.0,80.8,25.4,316.3,2793.2,272.4,2440.0,80.8
Florida,Fort Pierce,"42,566",1108.9,7.0,72.8,321.9,707.1,5462.1,1656.3,3589.7,216.1
California,Fountain Valley,"56,674",187.0,1.8,12.4,30.0,142.9,2592.0,527.6,1875.6,188.8
New York,Freeport Village,"43,248",483.3,11.6,9.2,249.7,212.7,2023.2,490.2,1396.6,136.4
Texas,Galveston,"49,170",602.0,4.1,75.2,240.0,282.7,5021.4,1051.5,3644.5,325.4
California,Gardena,"59,802",479.9,0.0,21.7,279.3,178.9,2209.0,496.6,1197.3,515.0
Texas,Georgetown,"50,304",131.2,0.0,27.8,9.9,93.4,1828.9,292.2,1500.9,35.8
California,Gilroy,"50,042",317.7,6.0,14.0,135.9,161.9,3573.0,677.4,2432.0,463.6
California,Glendora,"50,903",115.9,0.0,15.7,53.0,47.1,2540.1,396.8,1999.9,143.4
Illinois,Glenview,"44,909",86.8,0.0,20.0,15.6,51.2,1066.6,256.1,788.3,22.3
North Dakota,Grand Forks,"53,839",271.2,0.0,44.6,42.7,183.9,2617.1,423.5,2026.4,167.2
Nebraska,Grand Island,"49,583",326.7,0.0,80.7,42.4,203.7,4648.8,740.2,3749.3,159.3
Colorado,Grand Junction,"59,516",423.4,3.4,87.4,48.7,284.0,4592.0,517.5,3856.1,218.4
Texas,Grapevine,"48,095",147.6,2.1,27.0,27.0,91.5,2782.0,341.0,2287.1,153.9
Montana,Great Falls,"59,360",254.4,1.7,16.8,42.1,193.7,4696.8,539.1,3938.7,219.0
New York,Greenburgh Town,"43,409",112.9,0.0,0.0,36.9,76.0,1359.2,152.0,1128.8,78.3
Indiana,Greenwood,"51,746",369.1,1.9,5.8,36.7,324.7,3495.9,400.0,2981.9,114.0
New Jersey,Hackensack,"43,499",283.1,0.0,9.2,78.2,,2020.7,246.0,1616.1,158.6
Maryland,Hagerstown,"40,275",489.1,7.4,27.3,186.2,268.2,3615.1,769.7,2532.6,312.8
Texas,Haltom City,"44,024",240.8,0.0,15.9,61.3,163.5,3302.7,1013.1,2001.2,288.5
New York,Hamburg Town,"45,166",77.5,0.0,6.6,13.3,57.6,2847.3,418.5,2351.3,77.5
California,Hanford,"54,787",564.0,3.7,43.8,107.7,408.9,3123.0,615.1,2146.5,361.4
Pennsylvania,Harrisburg,"49,753",1461.2,22.1,112.6,779.9,546.7,4876.1,1232.1,3326.4,317.6
Virginia,Harrisonburg,"50,524",217.7,2.0,27.7,49.5,138.5,2111.9,300.8,1757.6,53.4
Mississippi,Hattiesburg,"46,726",252.5,10.7,27.8,141.2,72.8,5709.9,802.6,4671.9,235.4
Pennsylvania,Haverford Township,"48,599",51.4,0.0,0.0,16.5,35.0,1189.3,148.2,1012.4,28.8
New York,Hempstead Village,"54,380",853.3,16.6,16.6,380.7,439.5,1824.2,399.0,1169.5,255.6
Tennessee,Hendersonville,"52,781",240.6,0.0,11.4,24.6,204.6,1782.8,267.1,1462.6,53.0
North Carolina,Hickory,"40,361",656.6,7.4,54.5,200.7,393.9,6541.0,1176.9,4962.7,401.4
California,Highland,"54,403",544.1,7.4,9.2,169.1,358.4,2970.4,1156.2,1266.5,547.8
New Jersey,Hoboken,"50,794",295.3,0.0,21.7,84.7,189.0,1958.9,297.3,1462.8,198.8
Illinois,Hoffman Estates,"52,148",126.6,0.0,24.9,49.9,51.8,1361.5,247.4,1073.9,40.3
Massachusetts,Holyoke,"40,260",948.8,0.0,82.0,216.1,650.8,6232.0,1102.8,4855.9,273.2
New Jersey,Howell Township,"51,379",79.8,0.0,1.9,17.5,60.3,1241.8,332.8,885.6,23.4
North Carolina,Huntersville,"48,524",175.2,0.0,12.4,41.2,121.6,2165.9,375.1,1739.3,51.5
