states,cities,safety_index
California,Montebello,382.49250000000006
California,Monterey Park,314.415
South Carolina,Mount Pleasant,260.7
New York,Mount Vernon,408.8250000000001
California,Mountain View,257.31
Indiana,Muncie,469.85
Idaho,Nampa,353.20500000000004
California,Napa,325.41
New Hampshire,Nashua,306.24499999999995
Massachusetts,New Bedford,564.1049999999999
Texas,New Braunfels,319.0
Connecticut,New Britain,365.2575000000001
New York,New Rochelle,253.75
California,Newport Beach,310.735
Massachusetts,Newton,226.46500000000003
New Jersey,North Bergen Township,237.985
Arkansas,North Little Rock,407.81250000000006
Florida,North Miami,419.7225
Texas,North Richland Hills,318.58
Pennsylvania,Northern York Regional,217.035
Connecticut,Norwalk,283.80999999999995
Missouri,O'Fallon,215.94
Utah,Ogden,446.175
New Jersey,Old Bridge Township,232.69000000000003
Utah,Orem,227.07
Wisconsin,Oshkosh,334.475
Illinois,Palatine,181.48
California,Palo Alto,300.375
Ohio,Parma,122.935
Washington,Pasco,381.4
New Jersey,Passaic,422.995
Rhode Island,Pawtucket,480.595
Texas,Pearland,257.255
California,Perris,412.98
Texas,Pharr,411.5100000000001
California,Pico Rivera,381.325
California,Pittsburg,356.3325
Florida,Plantation,413.24
California,Pleasanton,237.06
Minnesota,Plymouth,263.1
Maine,Portland,353.995
Virginia,Portsmouth,357.1625
Massachusetts,Quincy,359.39500000000004
Wisconsin,Racine,350.17250000000007
New York,Ramapo Town,186.255
California,Rancho Cordova,424.4
South Dakota,Rapid City,469.475
Pennsylvania,Reading,432.7525
California,Redding,419.2925
California,Redlands,447.67
California,Redondo Beach,306.365
California,Redwood City,373.835
Washington,Renton,472.58
New Mexico,Rio Rancho,304.48
Virginia,Roanoke,489.575
South Carolina,Rock Hill,410.395
Georgia,Roswell,293.725
California,San Clemente,272.63
California,San Leandro,468.44000000000005
California,San Marcos,318.365
California,San Mateo,276.795
California,San Ramon,233.695
Georgia,Sandy Springs,375.83
Utah,Sandy,316.92500000000007
California,Santa Barbara,378.12
California,Santa Cruz,497.71
New Mexico,Santa Fe,362.1425
California,Santa Monica,388.45
Illinois,Schaumburg,245.59
New York,Schenectady,420.5375
Pennsylvania,Scranton,420.97
Kansas,Shawnee,252.145
Michigan,Shelby Township,236.705
Iowa,Sioux City,406.1
Illinois,Skokie,303.63
Massachusetts,Somerville,329.595
California,South Gate,389.155
California,South San Francisco,335.07
Michigan,Southfield,467.51
Nevada,Sparks,373.055
Washington,Spokane Valley,457.05
Arkansas,Springdale,395.715
Ohio,Springfield,375.30750000000006
Oregon,Springfield,375.815
Missouri,St. Charles,271.11
Utah,St. George,297.55
Missouri,St. Joseph,365.6325000000001
Texas,Sugar Land,269.62
Florida,Sunrise,433.125
Florida,Tamarac,454.33
Michigan,Taylor,473.465
Texas,Temple,330.2225
Indiana,Terre Haute,346.95750000000004
New Jersey,Toms River Township,349.28000000000003
California,Tracy,284.255
New Jersey,Trenton,498.55750000000006
Michigan,Troy,234.395
California,Tulare,399.61750000000006
California,Turlock,510.245
Alabama,Tuscaloosa,363.9625
California,Tustin,268.195
California,Union City,377.675
New Jersey,Union City,309.3
California,Upland,421.3200000000001
Pennsylvania,Upper Darby Township,312.895
New York,Utica,494.005
California,Vacaville,290.82
Texas,Victoria,491.19000000000005
New Jersey,Vineland,338.9375
California,Vista,357.54
California,Walnut Creek,360.735
Massachusetts,Waltham,311.92499999999995
Georgia,Warner Robins,364.5875
Rhode Island,Warwick,285.845
Michigan,Waterford Township,298.62
Iowa,Waterloo,385.9075
Illinois,Waukegan,399.735
Wisconsin,Waukesha,265.975
Wisconsin,West Allis,438.925
Michigan,West Bloomfield Township,227.825
Connecticut,West Hartford,274.995
Michigan,Westland,407.46
California,Westminster,348.075
Florida,Weston,214.90500000000003
California,Whittier,347.01
Delaware,Wilmington,531.8975
Minnesota,Woodbury,249.37
Washington,Yakima,375.3250000000001
California,Yorba Linda,260.28000000000003
Pennsylvania,York Area Regional,234.075
Ohio,Youngstown,439.8925
California,Yuba City,418.95
Arizona,Yuma,499.97
Texas,Abilene,459.915
Ohio,Akron,453.8825000000001
Virginia,Alexandria,264.2425
Pennsylvania,Allentown,401.05250000000007
Texas,Amarillo,425.1325000000001
New York,Amherst Town,241.7875
Michigan,Ann Arbor,370.43
California,Antioch,467.94
Colorado,Arvada,303.00750000000005
Georgia,Athens-Clarke County,488.55
Illinois,Aurora,343.7875
Louisiana,Baton Rouge,470.62750000000005
Texas,Beaumont,467.79750000000007
Washington,Bellevue,342.445
California,Berkeley,470.65
Montana,Billings,437.245
Alabama,Birmingham,546.9625
Idaho,Boise,332.86
Colorado,Boulder,342.3225
Connecticut,Bridgeport,596.59
Oklahoma,Broken Arrow,302.43
Texas,Brownsville,382.775
California,Burbank,313.25000000000006
Massachusetts,Cambridge,359.85
Florida,Cape Coral,342.355
California,Carlsbad,339.54
Texas,Carrollton,369.055
North Carolina,Cary,263.6225
Iowa,Cedar Rapids,418.455
Colorado,Centennial,273.77500000000003
Arizona,Chandler,342.2
South Carolina,Charleston,300.23
Virginia,Chesapeake,354.18
California,Chula Vista,326.77500000000003
Tennessee,Clarksville,458.375
Florida,Clearwater,490.3850000000001
Missouri,Columbia,423.325
Georgia,Columbus,407.4675
California,Concord,418.1025
Florida,Coral Springs,328.69500000000005
California,Corona,353.785
California,Costa Mesa,377.395
California,Daly City,320.2325
Iowa,Davenport,498.465
Ohio,Dayton,465.7025
Texas,Denton,363.265
Iowa,Des Moines,411.0125000000001
California,Downey,415.015
North Carolina,Durham,430.9125
New Jersey,Edison Township,289.6175
California,El Cajon,370.06500000000005
California,El Monte,378.18
Illinois,Elgin,298.515
New Jersey,Elizabeth,522.94
California,Elk Grove,344.36
Pennsylvania,Erie,382.37750000000005
California,Escondido,395.31
Oregon,Eugene,470.7125
Indiana,Evansville,501.845
Washington,Everett,425.2025
California,Fairfield,421.03
North Dakota,Fargo,342.66
North Carolina,Fayetteville,410.9175
Michigan,Flint,467.0125
California,Fontana,401.64
Colorado,Fort Collins,326.2
Florida,Fort Lauderdale,448.3925
California,Fremont,349.565
Texas,Frisco,287.07250000000005
California,Fullerton,373.5025
Florida,Gainesville,483.18
California,Garden Grove,343.49500000000006
Texas,Garland,461.36
Arizona,Gilbert,285.40500000000003
Arizona,Glendale,411.4375
California,Glendale,274.08250000000004
Texas,Grand Prairie,415.645
Michigan,Grand Rapids,430.8375
Wisconsin,Green Bay,411.3
Oregon,Gresham,479.775
Virginia,Hampton,359.56500000000005
Connecticut,Hartford,597.685
California,Hayward,471.04
Florida,Hialeah,358.26000000000005
North Carolina,High Point,403.4025
Florida,Hollywood,399.6825
California,Huntington Beach,316.135
Alabama,Huntsville,464.9075
Missouri,Independence,416.1725
California,Inglewood,444.84
California,Irvine,259.69000000000005
Texas,Irving,369.815
Mississippi,Jackson,469.4175000000001
Illinois,Joliet,396.9
Kansas,Kansas City,439.5775
Washington,Kent,412.8275
Texas,Killeen,413.4225
Tennessee,Knoxville,474.8075
Louisiana,Lafayette,417.7425
Colorado,Lakewood,422.705
California,Lancaster,430.3
Michigan,Lansing,461.1075
Texas,Laredo,424.93
Arkansas,Little Rock,522.6475
Massachusetts,Lowell,465.2375
Texas,Lubbock,452.1675
Wisconsin,Madison,407.4100000000001
New Hampshire,Manchester,456.56000000000006
Texas,McAllen,300.925
Texas,McKinney,298.6225
Texas,Mesquite,384.1825
Florida,Miami Gardens,448.3425
Texas,Midland,359.575
Florida,Miramar,420.385
California,Modesto,469.5425
Alabama,Montgomery,395.2025
California,Moreno Valley,388.0575
Tennessee,Murfreesboro,483.4
California,Murrieta,294.385
Illinois,Naperville,241.83
Connecticut,New Haven,530.2325000000001
Virginia,Newport News,386.68
Virginia,Norfolk,499.53
Oklahoma,Norman,347.87000000000006
South Carolina,North Charleston,519.51
Nevada,North Las Vegas,485.48
California,Norwalk,386.765
California,Oceanside,377.505
Texas,Odessa,539.305
Kansas,Olathe,272.9775
California,Ontario,409.72
California,Orange,296.46500000000003
Florida,Orlando,486.2125
Kansas,Overland Park,288.33
California,Oxnard,340.03
Florida,Palm Bay,437.345
California,Palmdale,430.34
California,Pasadena,392.835
Texas,Pasadena,416.81
New Jersey,Paterson,480.7425
Florida,Pembroke Pines,342.87500000000006
Arizona,Peoria,364.295
Illinois,Peoria,435.9625
California,Pomona,456.23
Florida,Pompano Beach,473.2675
Florida,Port St. Lucie,340.345
Rhode Island,Providence,437.2075
Utah,Provo,270.9475
Colorado,Pueblo,443.6025000000001
California,Rancho Cucamonga,438.7000000000001
Nevada,Reno,450.35
California,Rialto,512.81
Texas,Richardson,379.3250000000001
California,Richmond,478.2600000000001
Virginia,Richmond,532.245
Minnesota,Rochester,324.90500000000003
New York,Rochester,460.6325
Illinois,Rockford,518.6975
California,Roseville,331.14500000000004
Texas,Round Rock,283.9925
Oregon,Salem,421.36
California,Salinas,499.23
Utah,Salt Lake City,555.5500000000001
California,San Bernardino,455.57
California,Santa Clara,350.9075
California,Santa Clarita,303.87
California,Santa Maria,474.6725
California,Santa Rosa,349.865
Georgia,Savannah-Chatham Metropolitan,469.54
Arizona,Scottsdale,348.745
Louisiana,Shreveport,434.9675000000001
California,Simi Valley,282.805
South Dakota,Sioux Falls,388.9
Indiana,South Bend,409.2475
Washington,Spokane,453.0575
Illinois,Springfield,463.1975000000001
Massachusetts,Springfield,483.1625
Missouri,Springfield,487.4975
Florida,St. Petersburg,460.6725
Connecticut,Stamford,285.115
Michigan,Sterling Heights,284.27000000000004
California,Sunnyvale,302.04
Arizona,Surprise,313.89
New York,Syracuse,457.4675
Washington,Tacoma,473.75250000000005
Florida,Tallahassee,446.3075
California,Temecula,348.40250000000003
Arizona,Tempe,457.62000000000006
Colorado,Thornton,331.645
California,Thousand Oaks,257.8075
Kansas,Topeka,534.46
California,Torrance,300.83000000000004
Texas,Tyler,401.5375
California,Vallejo,428.195
Washington,Vancouver,420.0700000000001
California,Ventura,411.89
California,Victorville,423.1325000000001
California,Visalia,502.34
Texas,Waco,392.0425
Michigan,Warren,469.3075
Connecticut,Waterbury,393.21
California,West Covina,369.64
Utah,West Jordan,330.865
Florida,West Palm Beach,439.2225
Utah,West Valley,443.97
Colorado,Westminster,323.04
Texas,Wichita Falls,391.0875
North Carolina,Wilmington,410.2925000000001
North Carolina,Winston-Salem,424.7725
New Jersey,Woodbridge Township,289.9675
Massachusetts,Worcester,465.7375
New York,Yonkers,328.805
 Alabama,Mobile3,441.187
 Alaska,Anchorage,553.349
 Arizona,Chandler,303.382
 Arizona,Gilbert,245.73200000000003
 Arizona,Glendale,428.1825
 Arizona,Mesa,343.4115
 Arizona,Phoenix,502.422
 Arizona,Scottsdale,295.45250000000004
 Arizona,Tucson,516.3755000000001
 California,Anaheim,346.14900000000006
 California,Bakersfield,521.619
 California,Chula Vista,294.10850000000005
 California,Fremont,295.29100000000005
