City,State,Cost of Living Index,State_Code,State_Name,Mean,Median,county_name,population,density,timezone,zips,average_temp_january,average_temp_february,average_temp_march,average_temp_april,average_temp_may,average_temp_june,average_temp_july,average_temp_august,average_temp_september,average_temp_october,average_temp_november,average_temp_december,safety_index,education_score
coeur d'alene,id,103.3,16,idaho,85024,77130,Kootenai,134503,1309.1,America/Los_Angeles,83815 83814 83816,25.18,26.65,31.860000000000003,38.85,46.16,55,63.65,66.96000000000001,61.11111111111112,50.52222222222222,39.11111111111112,29.23333333333333,85,70
college station,tx,92.3,48,texas,38844,24713,Brazos,213177,909,America/Chicago,77843 77840 77845 77841 77842 77844 77881,48.53,48.62,54.71,62.2,69.42999999999999,77.21000000000001,82.27000000000001,83.28,80.24444444444445,72.61111111111111,61.94444444444444,53.16666666666666,80,80
colorado springs,co,102.2,8,colorado,113743,105184,El Paso,638194,917.5,America/Denver,80951 80829 80909 80904 80905 80906 80907 80903 80939 80938 80910 80917 80916 80915 80914 80919 80918 80927 80924 80925 80922 80923 80920 80921 80929 80901 80932 80934 80935 80936 80937 80941 80942 80946 80947 80949 80950 80960 80962 80977 80995 80997,26.9,27.43,32.84,40.45,47.98,58.52,66.84,67.9,63.75555555555555,54.04444444444445,42.01111111111111,32.1,75,75
columbia,mo,89.8,29,missouri,63056,44860,Boone,142637,725.2,America/Chicago,65202 65203 65201 65215 65216 65211 65217 65218 65299,34.230000000000004,32.239999999999995,39.18,49.84,59.67999999999999,69.7,75.97,76.3,72.93333333333334,64.07777777777778,50.888888888888886,40.63333333333334,70,70
columbia,sc,91.9,45,south carolina,49442,48173,Richland,604065,383.1,America/New_York,29203 29207 29205 29208 29209 29225 29212 29210 29201 29206 29204 29202 29214 29215 29216 29217 29218 29220 29224 29226 29240 29250,48.02,47.74,52.620000000000005,59.14,67.11,74.66,79.55,80.25,77.48888888888888,70.68888889,59.833333333333336,51.96666666666667,60,65
columbus,ga,88.5,13,georgia,55824,41908,Muscogee,264282,364.8,America/New_York,31820 31829 31909 31904 31905 31906 31907 31901 31903 31808 31902 31908 31914 31917 31993 31995 31997 31998 31999,49.53,49.39,54.55,60.57000000000001,67.63,74.94,79.42,80.11,77.80000000000001,71.45555555555556,61.1,53.58888888888889,50,60
columbus,in,89.1,18,indiana,70164,57088,Bartholomew,50896,689.4,America/Indiana/Indianapolis,47203 47201 47202,31.3,28.85,35.3,45.9,57.15,67.45,72.88,73.28,70.26666666666667,61.977777777777774,48.62222222222223,37.922222222222224,85,70
columbus,oh,93.9,39,ohio,84971,74612,Franklin,1572546,1581,America/New_York,43109 43026 43054 43220 43221 43222 43223 43224 43081 43228 43227 43213 43212 43215 43214 43217 43219 43218 43002 43004 43068 43085 43240 43229 43235 43232 43231 43230 43119 43110 43017 43016 43137 43211 43210 43202 43203 43201 43206 43207 43204 43205 43209 43236 43251 43260 43266 43268 43270 43271 43272 43279 43287 43291,31.62,29.04,34.980000000000004,45.16,56.370000000000005,66.25,71.91,72.84,69.56666666666666,61.35555555555556,48.55555555555556,38.25555555555556,65,75
concord,nh,108.3,33,new hampshire,70852,55781,Merrimack,44049,265.9,America/New_York,03303 03301 03302 03305,23.22,20.85,25.54,35.5,48.25,58.75,65.63,67.75,63.2,54.15555555555555,41.84444444444445,30.700000000000003,90,80
corpus christi,tx,93.3,48,texas,55275,38205,Nueces,337230,756.1,America/Chicago,78373 78408 78409 78406 78407 78404 78405 78402 78401 78419 78418 78415 78414 78417 78416 78411 78410 78413 78412 78403 78426 78427 78460 78463 78465 78466 78467 78468 78469 78480,48.53,48.62,54.71,62.2,69.42999999999999,77.21000000000001,82.27000000000001,83.28,80.24444444444445,72.61111111111111,61.94444444444444,53.16666666666666,60,60
