states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
Michigan,Warren,"134,340",532.2,4.05,67.7,110.2,354.3,,743.6,921.8,550.1
Connecticut,Waterbury,"110,486",296.9,4.5,6.3,167.4,118.6,,599.2,921.8,464.3
California,West Covina,"107,861",260.5,1.9,10.2,100.1,148.3,,506.2,921.8,503.4
Utah,West Jordan,"107,103",185.8,1.9,22.4,30.8,130.7,,442.6,921.8,212.9
Florida,West Palm Beach,"102,422",801.6,16.6,30.3,326.1,428.6,,548.45,921.8,306.6
Utah,West Valley,"133,725",447.9,0.7,67.3,89.7,290.1,,702.9,921.8,491.3
Colorado,Westminster,"109,461",259.5,1.8,26.5,46.6,184.5,,360.9,921.8,264.0
Texas,Wichita Falls,"105,488",450.3,4.7,34.1,142.2,269.2,,548.45,921.8,218.0
North Carolina,Wilmington,"109,370",565.1,7.3,21.0,238.6,298.1,,548.45,921.8,341.0
North Carolina,Winston-Salem,"234,687",663.0,2.6,31.5,182.4,446.6,,548.45,921.8,290.6
New Jersey,Woodbridge Township,"100,612",121.3,4.05,3.0,54.7,63.6,,335.9,921.8,114.3
Massachusetts,Worcester,"183,247",959.4,4.4,18.0,228.7,708.3,,548.45,921.8,253.8
New York,Yonkers,"198,464",570.9,2.0,14.1,212.6,342.1,,269.6,906.5,116.4
